Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_5_Right_5,VGND,li1,55.8900,27.2000,0.000008
PHY_EDGE_ROW_4_Right_4,VGND,li1,55.8900,21.7600,0.000054
PHY_EDGE_ROW_3_Right_3,VGND,li1,55.8900,21.7600,0.000054
PHY_EDGE_ROW_2_Right_2,VGND,li1,55.8900,16.3200,0.000033
PHY_EDGE_ROW_1_Right_1,VGND,li1,55.8900,16.3200,0.000033
PHY_EDGE_ROW_0_Right_0,VGND,li1,55.8900,10.8800,0.000004
_183_,VGND,li1,39.1000,54.4000,0.000030
_182_,VGND,li1,11.9600,21.7600,0.000031
_181_,VGND,li1,35.4200,48.9600,0.000045
_180_,VGND,li1,12.4200,54.4000,0.000025
_179_,VGND,li1,22.5400,32.6400,0.000012
_178_,VGND,li1,49.2200,48.9600,0.000049
_177_,VGND,li1,49.2200,32.6400,0.000029
_176_,VGND,li1,50.6000,16.3200,0.000033
_175_,VGND,li1,35.8800,16.3200,0.000027
_174_,VGND,li1,11.5000,16.3200,0.000022
_173_,VGND,li1,25.3000,54.4000,0.000019
_172_,VGND,li1,12.4200,43.5200,0.000010
_171_,VGND,li1,12.4200,38.0800,0.000025
_170_,VGND,li1,39.5600,43.5200,0.000012
_169_,VGND,li1,37.7200,32.6400,0.000022
_168_,VGND,li1,35.4200,21.7600,0.000049
_167_,VGND,li1,24.8400,16.3200,0.000017
_166_,VGND,li1,11.9600,27.2000,0.000008
_165_,VGND,li1,42.3200,54.4000,0.000032
_164_,VGND,li1,22.5400,54.4000,0.000021
_163_,VGND,li1,51.5200,38.0800,0.000048
_162_,VGND,li1,51.5200,43.5200,0.000015
_161_,VGND,li1,51.5200,32.6400,0.000029
_160_,VGND,li1,51.5200,21.7600,0.000054
_159_,VGND,li1,43.2400,16.3200,0.000030
_158_,VGND,li1,21.1600,16.3200,0.000019
_157_,VGND,li1,37.7200,54.4000,0.000030
_156_,VGND,li1,8.2800,27.2000,0.000008
_155_,VGND,li1,15.8700,27.2000,0.000007
_154_,VGND,li1,33.1200,59.8400,0.000004
_153_,VGND,li1,33.3500,54.4000,0.000028
_152_,VGND,li1,8.7400,48.9600,0.000025
_151_,VGND,li1,12.1900,48.9600,0.000025
_150_,VGND,li1,16.1000,32.6400,0.000013
_149_,VGND,li1,16.3300,32.6400,0.000013
_148_,VGND,li1,45.0800,48.9600,0.000048
_147_,VGND,li1,52.2100,48.9600,0.000049
_146_,VGND,li1,47.8400,27.2000,0.000007
_145_,VGND,li1,52.2100,27.2000,0.000008
_144_,VGND,li1,48.7600,16.3200,0.000032
_143_,VGND,li1,52.2100,16.3200,0.000033
_142_,VGND,li1,33.1200,10.8800,0.000003
_141_,VGND,li1,36.5700,10.8800,0.000004
_140_,VGND,li1,9.6600,10.8800,0.000003
_139_,VGND,li1,14.4900,10.8800,0.000003
_138_,VGND,li1,23.0000,48.9600,0.000024
_137_,VGND,li1,28.2900,54.4000,0.000022
_136_,VGND,li1,8.7400,43.5200,0.000011
_135_,VGND,li1,12.1900,43.5200,0.000010
_134_,VGND,li1,8.7400,38.0800,0.000025
_133_,VGND,li1,12.1900,38.0800,0.000025
_132_,VGND,li1,38.1800,38.0800,0.000043
_131_,VGND,li1,45.3100,43.5200,0.000014
_130_,VGND,li1,35.8800,27.2000,0.000006
_129_,VGND,li1,43.4700,32.6400,0.000025
_128_,VGND,li1,27.6000,21.7600,0.000034
_127_,VGND,li1,33.8100,16.3200,0.000025
_126_,VGND,li1,23.0000,21.7600,0.000029
_125_,VGND,li1,37.9500,16.3200,0.000028
_124_,VGND,li1,9.6600,32.6400,0.000013
_123_,VGND,li1,11.7300,27.2000,0.000008
_122_,VGND,li1,40.2500,48.9600,0.000047
_121_,VGND,li1,43.4700,54.4000,0.000032
_120_,VGND,li1,35.6500,43.5200,0.000011
_119_,VGND,li1,27.8300,48.9600,0.000030
_118_,VGND,li1,30.1300,54.4000,0.000024
_117_,VGND,li1,20.2400,48.9600,0.000024
_116_,VGND,li1,17.9400,54.4000,0.000023
_115_,VGND,li1,20.2400,54.4000,0.000022
_114_,VGND,li1,20.0100,48.9600,0.000024
_113_,VGND,li1,20.7000,43.5200,0.000008
_112_,VGND,li1,23.9200,43.5200,0.000007
_111_,VGND,li1,24.6100,38.0800,0.000022
_110_,VGND,li1,22.3100,38.0800,0.000022
_109_,VGND,li1,27.3700,38.0800,0.000027
_108_,VGND,li1,20.4700,38.0800,0.000023
_107_,VGND,li1,20.9300,43.5200,0.000008
_106_,VGND,li1,49.2200,38.0800,0.000047
_105_,VGND,li1,46.4600,43.5200,0.000014
_104_,VGND,li1,43.2400,43.5200,0.000013
_103_,VGND,li1,53.1300,43.5200,0.000015
_102_,VGND,li1,42.3200,38.0800,0.000044
_101_,VGND,li1,46.0000,38.0800,0.000045
_100_,VGND,li1,46.2300,32.6400,0.000027
_099_,VGND,li1,45.7700,27.2000,0.000007
_098_,VGND,li1,46.2300,38.0800,0.000046
_097_,VGND,li1,40.7100,27.2000,0.000006
