Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_26,VGND,li1,17.9400,21.7600,0.000015
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000016
FILLER_3_144,VGND,li1,72.2200,21.7600,0.000036
FILLER_3_119,VGND,li1,60.4900,21.7600,0.000035
FILLER_3_108,VGND,li1,56.1200,21.7600,0.000032
FILLER_3_96,VGND,li1,50.6000,21.7600,0.000029
FILLER_3_79,VGND,li1,42.0900,21.7600,0.000024
FILLER_3_71,VGND,li1,40.0200,21.7600,0.000023
FILLER_3_32,VGND,li1,20.4700,21.7600,0.000014
FILLER_3_20,VGND,li1,17.4800,21.7600,0.000015
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000016
FILLER_2_141,VGND,li1,70.6100,16.3200,0.000068
FILLER_2_133,VGND,li1,66.9300,16.3200,0.000068
FILLER_2_45,VGND,li1,26.4500,16.3200,0.000024
FILLER_2_21,VGND,li1,15.4100,16.3200,0.000025
FILLER_2_15,VGND,li1,13.8000,16.3200,0.000025
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000025
FILLER_1_126,VGND,li1,63.7100,16.3200,0.000067
FILLER_1_122,VGND,li1,62.5600,16.3200,0.000067
FILLER_1_111,VGND,li1,56.8100,16.3200,0.000063
FILLER_1_105,VGND,li1,55.2000,16.3200,0.000063
FILLER_1_73,VGND,li1,40.9400,16.3200,0.000048
FILLER_1_27,VGND,li1,18.8600,16.3200,0.000025
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000025
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000025
FILLER_0_145,VGND,li1,72.4500,10.8800,0.000008
FILLER_0_141,VGND,li1,71.3000,10.8800,0.000008
FILLER_0_139,VGND,li1,69.6900,10.8800,0.000008
FILLER_0_130,VGND,li1,66.0100,10.8800,0.000008
FILLER_0_118,VGND,li1,62.5600,10.8800,0.000008
FILLER_0_113,VGND,li1,57.9600,10.8800,0.000008
FILLER_0_104,VGND,li1,54.2800,10.8800,0.000008
FILLER_0_97,VGND,li1,51.0600,10.8800,0.000008
FILLER_0_90,VGND,li1,47.8400,10.8800,0.000007
FILLER_0_85,VGND,li1,45.0800,10.8800,0.000007
FILLER_0_77,VGND,li1,41.6300,10.8800,0.000007
FILLER_0_70,VGND,li1,38.4100,10.8800,0.000006
FILLER_0_63,VGND,li1,35.1900,10.8800,0.000006
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000005
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000005
FILLER_0_37,VGND,li1,23.2300,10.8800,0.000003
FILLER_0_29,VGND,li1,20.7000,10.8800,0.000003
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000003
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000003
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000003
hold9,VGND,li1,33.5800,21.7600,0.000019
hold8,VGND,li1,60.7200,27.2000,0.000034
hold7,VGND,li1,23.9200,65.2800,0.000031
hold6,VGND,li1,69.9200,21.7600,0.000036
hold5,VGND,li1,66.7000,65.2800,0.000078
hold4,VGND,li1,21.1600,65.2800,0.000031
hold3,VGND,li1,20.7000,54.4000,0.000015
hold2,VGND,li1,63.9400,76.1600,0.000017
hold1,VGND,li1,53.3600,21.7600,0.000031
clkload2,VGND,li1,47.8400,59.8400,0.000093
clkload1,VGND,li1,31.5100,59.8400,0.000052
clkload0,VGND,li1,29.4400,32.6400,0.000072
clkbuf_2_3__f_clk,VGND,li1,53.3600,59.8400,0.000106
clkbuf_2_2__f_clk,VGND,li1,36.3400,65.2800,0.000062
clkbuf_2_1__f_clk,VGND,li1,52.4400,32.6400,0.000139
clkbuf_2_0__f_clk,VGND,li1,36.3400,32.6400,0.000101
clkbuf_0_clk,VGND,li1,41.4000,48.9600,0.000064
fanout62,VGND,li1,17.0200,65.2800,0.000032
fanout61,VGND,li1,14.7200,65.2800,0.000033
fanout60,VGND,li1,20.2400,38.0800,0.000014
fanout59,VGND,li1,9.2000,65.2800,0.000033
fanout58,VGND,li1,11.9600,65.2800,0.000033
fanout57,VGND,li1,40.9400,76.1600,0.000015
fanout56,VGND,li1,11.0400,65.2800,0.000033
fanout55,VGND,li1,9.2000,43.5200,0.000018
fanout54,VGND,li1,49.6800,38.0800,0.000017
wire53,VGND,li1,61.8700,32.6400,0.000145
output52,VGND,li1,46.4600,76.1600,0.000016
output51,VGND,li1,71.7600,59.8400,0.000114
output50,VGND,li1,71.7600,43.5200,0.000041
output49,VGND,li1,71.7600,27.2000,0.000036
output48,VGND,li1,69.0000,38.0800,0.000020
output47,VGND,li1,43.2400,10.8800,0.000007
output46,VGND,li1,7.8200,32.6400,0.000054
output45,VGND,li1,36.8000,10.8800,0.000006
output44,VGND,li1,43.2400,76.1600,0.000015
output43,VGND,li1,71.7600,65.2800,0.000078
output42,VGND,li1,71.7600,48.9600,0.000078
output41,VGND,li1,71.7600,38.0800,0.000020
output40,VGND,li1,71.7600,27.2000,0.000036
output39,VGND,li1,71.7600,38.0800,0.000020
output38,VGND,li1,7.8200,48.9600,0.000027
output37,VGND,li1,33.5800,10.8800,0.000006
output36,VGND,li1,27.1400,76.1600,0.000008
output35,VGND,li1,71.7600,70.7200,0.000073
output34,VGND,li1,71.7600,54.4000,0.000025
output33,VGND,li1,71.7600,16.3200,0.000068
